;Unnamed: 0;Unnamed: 0.1;Unnamed: 0.1.1;Image Text;Image Title;caption;no_of_comments;no_of_likes;is_video;topic;corresponding article;length_of_text;question;personalisation;emotional;opinion;regional;interaction;on X;number of Images;Column1;verbless clause caption;verbless clause image;omission of article caption;omission of article image;quotation caption;quotation image;average word length caption;average word length image;personal;main_clauses;sub_clauses;no_of_sentences;emoji;emoji_count;ratio_main_sub;ratio_main;ratio_sub;sentence_structure;emotion
265;265;265;265;",Feminismus ist gerade ein Trend für Marken
und davon profitiere ich auch finanziell.
Andererseits nervt es aber, weil dieser Erfolg
dadurch immer auch so ein bisschen abgetan
wird, dass er ja doch gar nicht so groß sei,
weil ich ja eben nur ,,die erste Frau“ sei.“

Rapperin Shirin David
im LVZ-Interview Über ihr neues Album und Feminismus

";C:\Users\Lui\lvz.de\2023-11-08_15-01-45_UTC_4.jpg;"YouTube-Star und Rapperin @shirindavid am Mittwoch in der Arena #Leipzig auf. Vorab sprach sie mit der Leipziger Volkszeitung über Feminismus, ihr zweites Album und ihre Liebe zu Johann Strauss. Christian Neffe hat mit ihr gesprochen. Das ganze Interview gibt es jetzt bei lvz.de und über den Link in der Bio! 

#LVZ #Sachsen #LeipzigerVolkszeitung #ShirinDavid #Konzert";2;332;False;celebrity;yes;370;False;personalisation;no emotionalisation;Interview;regional;no;;;;all verbs included;verbless clause;omission of article;all articles included;no quote;no quote;5.745454545454545;5.88;personalisation;3.0;0.0;4.0;[];0.0;0.0;0.75;0.0;simple;
266;266;266;266;;C:\Users\Lui\lvz.de\2023-11-08_15-01-45_UTC_5.jpg;"😮 An der Haltestelle Goerdelerring, unterhalb der Höfe am Brühl gibt es einen neuen Fußgängerüberweg, einfacher: Zebrastreifen. Genau wie auf der anderen Seite der Straße auch. Lange hatten hier Radfahrende Vorrang, jetzt hat sich das geändert. Der Stadtverwaltung zufolge sollen dabei auch die Bedingungen für den Fußverkehr verbessert werden – getreu dem Motto: „Ein Ring für alle“.

Klappen tut es schon ganz gut, aber nicht immer vorbildlich. 

Anmerkung: Wir wünschen uns hier eine sachliche Diskussion zum Thema. Es haben sich auch, wie man sieht, viele Radfahrende korrekt verhalten! 

#Leipzig #Sachsen #LVZ #LeipzigerVolkszeitung #Fahrrad #Verkehrswende #Klima";490;2241;True;mobility;no;669;False;no personalisation;no emotionalisation;News;regional;no;;;;all verbs included;verbless clause;all articles included;all articles included;no quote;;6.127659574468085;0.0;no personalisation;7.0;2.0;8.0;['😮'];1.0;0.2857142857142857;0.875;0.25;complex;
267;267;267;267;"Wechsel im Winter
RB Leipzigs Emil Forsberg
will nach New York
.
";C:\Users\Lui\lvz.de\2023-11-08_16-11-33_UTC.jpg;"Geht Fanliebling Emil #Forsberg bald? Der 32-jährige Schwede steht vor einem winterlichen Wechsel in die Major League Soccer in den #USA. Dort soll er den RB-Schwesterclub Red Bull New York wachküssen und aufrichten. 

Nach LVZ-Informationen liegt Forsberg in Übersee ein Dreijahres-Vertrag mit der Option auf ein weiteres Jahr vor. Und zwar zu den Konditionen, die ihm sein aktuell „nur“ bis 2025 laufendes Arbeitspapier in Leipzig bietet.

#Leipzig #Fußball #RBLeipzig #Sachsen #Bundesliga #Forsberg #LVZ";2;392;False;sports;no;506;True;personalisation;no emotionalisation;News;regional;no;;;;all verbs included;verbless clause;all articles included;all articles included;no quote;no quote;6.041666666666667;6.333333333333333;personalisation;3.0;1.0;5.0;[];0.0;0.3333333333333333;0.6;0.2;complex;
268;268;268;268;"Unfall in Markkleebelg
Rettungsaktion: Auto
landet im Cospudener See
.
";C:\Users\Lui\lvz.de\2023-11-08_19-07-12_UTC.jpg;"Am Dienstag kam es am Cospudener See zu einem Rettungseinsatz. Nach Angaben der Polizei fuhr Mann mitsamt seinem Auto in den See - ein Ersthelfer hatte den Fahrer noch aus dem sinkenden Fahrzeug retten können. 

Nach ersten Erkenntnissen habe der Fahrer das Brems- mit dem Gaspedal verwechselt. Dadurch manövrierte er den Peugeot durch eine geschlossene Schranke am Zöbigker Hafen in Markkleeberg in den See. Ein Mann in der Nähe sah wie das Auto unterging. Der 48-Jährige stieg auf das Dach des Fahrzeugs, konnte die Tür öffnen und den 83-jährigen Fahrer befreien.

#LVZ #Polizei #Feuerwehr #Sachsen #Rettungseinsatz #Blaulicht #Leipzig #Markkleeberg #CospudenerSee";42;1145;True;crime, disaster & accidents;no;666;False;no personalisation;no emotionalisation;News;regional;no;;;;all verbs included;verbless clause;omission of article;all articles included;no quote;no quote;5.737373737373737;9.285714285714286;personalisation;7.0;2.0;6.0;[];0.0;0.2857142857142857;1.1666666666666667;0.3333333333333333;complex;
269;269;269;269;"Verfolgte des Nazi-regimes
13 Leipziger Stolpersteine - 
13 Schicksale
.";C:\Users\Lui\lvz.de\2023-11-09_10-43-43_UTC_1.jpg;"Kiews Bürgermeister @vitaliyklitschko besucht die sächsische Partnerstadt. Im gemeinsamen LVZ-Interview mit Oberbürgermeister Burkhard Jung spricht er über den Krieg in der Ukraine, die Hilfe aus Leipzig. Und er appelliert, sein Land weiterhin zu unterstützen.

Das ganze Interview lest ihr auf lvz.de.

#Leipzig #Sachsen #Partnerstadt #Kiew #Ukraine #VitaliKlitschko";33;707;True;politics;yes;367;False;personalisation;no emotionalisation;Interview;regional;no;;;;all verbs included;verbless clause;all articles included;omission of article;no quote;no quote;7.177777777777778;8.125;personalisation;3.0;0.0;4.0;[];0.0;0.0;0.75;0.0;simple;
270;270;270;270;"Warnstreik auch im MDV-Gebiet
S-Bahn & Regiobahn:
Massive Einschränkungen im
Leipziger Nahverkehr erwartet
.";C:\Users\Lui\lvz.de\2023-11-09_10-43-43_UTC_2.jpg;"Auch in Sachsen wird am heute Abend, 22 Uhr der Nah- und Fernverkehr bestreikt. Bereitet euch also hier auch auf Ausfälle und Verspätungen vor. Die GDL hat für Mittwoch, 22 Uhr, bis Donnerstagabend, 18 Uhr, zu einem 20-stündigen Ausstand aufgerufen.

Am Donnerstag können, je nachdem, wie hoch die Beteiligung am Streik ist, nur vereinzelt Züge fahren,“ so eine DB-Sprecherin. Abhängig sei das von der Beteiligung am Streik. Deswegen könnten die Fahrten, die stattfinden, erst kurzfristig über die Fahrplanauskunft bekannt gegeben werden. Priorisiert würden auch hier die viel befahrenen Strecken. Mehr dazu auf lvz.de/instagram und über den Link in der Bio! 

#Sachsen #Leipzig #DB #DeutscheBahn #Streik #DBStreik #Fernverkehr #Nahverkehr #MDV #MRB #LVZ";29;604;False;politics;yes;754;False;no personalisation;no emotionalisation;News;(inter)national;no;;;;all verbs included;all verbs included;all articles included;omission of article;no quote;no quote;5.863636363636363;9.9;personalisation;8.0;2.0;8.0;[];0.0;0.25;1.0;0.25;complex;
271;271;271;271;"""Das ist eine friedliche Zeit""
GDL-Chef Weselsky schließt
Bahnstreiks zu Weihnachten aus
";;"Heute streikt die GDL! 

Und der streitbare Lokführerchef hat mal wieder alle überrascht. 😮

Doch bedenken, dass auch über Weihnachten gestreikt wird, braucht sich niemand machen, so der GDL-Chef: „Die GDL hat noch nie über Weihnachten gestreikt und wird es auch dieses Jahr nicht tun.""

Welche Auswirkungen der Streik auf Leipzig und die Region hat, könnt ihr auf lvz.de nachlesen. 
#warnstreik #gdl #weselsky #streik #bahn #deutschebahn #weihnachten";32;413;False;politics;yes;451;False;no personalisation;no emotionalisation;News;(inter)national;no;;;;all verbs included;verbless clause;omission of article;omission of article;quote;quote;5.953846153846154;8.0;no personalisation;6.0;3.0;4.0;['😮'];1.0;0.5;1.5;0.75;complex;
272;272;272;272;"

Leipziger im Kino beim neuen
Panem-Film:
""Das ist das Völki!""

.";;"😮Wow: Unser Völkerschlachtdenkmal ist jetzt auf der ganz, ganz großen Leinwand zu sehen. Der fünfte Teil der „Die Tribute von Panem“ ist in den Kinos gestartet. 

Der streng geheime Dreh in Leipzig hatte an drei Tagen im August 2022 stattgefunden. Das Monument wurde komplett gesperrt, die Sichtachsen mit Planen zugehängt. Auf den ersten Blick sah das nach Bauarbeiten aus – tatsächlich verbarg sich hinter den Planen aber ein riesiges Filmset mit Starbesetzung wie Peter Dinklage und Rachel Zegler. Ein paar Mal sieht man das Völki übrigens auch schon im Trailer - oder zumindest eine Version davon...

 Mehr dazu auf lvz.de

#Leipzig #Sachsen #Völki #Völkerschlachtdenkmal #TributevonPanem #BalladofSongbirdsandSnakes #Kino";35;3108;False;culture;yes;726;False;personalisation;no emotionalisation;News;regional;no;;;;all verbs included;verbless clause;omission of article;all articles included;no quote;quote;5.858490566037736;7.375;personalisation;7.0;0.0;9.0;['😮'];1.0;0.0;0.7777777777777778;0.0;simple;
273;273;273;273;"Weihnachtsmarkt
Die Hütten sind da:
Leipziger kommen
langsam in
Weihnachtsstimmung";C:\Users\Lui\lvz.de\2023-11-09_10-43-43_UTC_5.jpg;"🎄In knapp zwei Wochen macht der Leipziger Weihnachtsmarkt auf. Die Hütten sind da, der Baum steht ebenfalls schon. Bleibt die Frage, sind die Leipzigerinnen und Leipziger eigentlich schon in Weihnachtsstimmung? Wir haben uns mal in der Stadt umgehört - und wie ist es bei euch so? 

Schreibt es uns doch in die Kommentare:
 🎄 Weihnachtsstimmung 
👎 oder noch nicht? 

#Leipzig #Sachsen #Weihnachtsmarkt #Advent #Weihnachtszeit #LVZ";17;1159;True;culture;no;430;True;no personalisation;emotionalisation;Interview;regional;yes;;;;all verbs included;no text;all articles included;no text;no quote;no quote;5.630769230769231;12.833333333333334;no personalisation;8.0;0.0;6.0;['🎄', '🎄', '👎'];1.0;0.0;1.3333333333333333;0.0;simple;positive
274;274;274;274;"Zwischen Verständnis
und Frust: Bahnstreik
sorgt fur Stillstand auf
Leipzigs Schienen
.
";C:\Users\Lui\lvz.de\2023-11-09_10-43-43_UTC_6.jpg;"Seit Mittwochabend streikt die Lokführergewerkschaft GDL, der Arbeitsausstand soll noch bis Donnerstag 18 Uhr dauern. Die Deutsche Bahn hat alle Reisenden gebeten, Fahrten wenn möglich zu verschieben aber auch gleichzeitig angekündigt, einen Notfallfahrplan einzurichten.

Am Leipziger Hauptbahnhof zeigt sich am Morgen, dass der Notfallplan nicht wie geplant greift.

Mit einem reibungslosen Bahnverkehr ist, laut Bahnsprecher, frühestens am Freitagmorgen wieder zu rechnen.

#Streik #DeutscheBahn #GDL #LeipzigBahnhof #Leipzig #Sachsen #LeipzigerVolkzeitung #LVZ";29;618;True;politics;no;564;False;no personalisation;no emotionalisation;News;regional;no;;;;all verbs included;verbless clause;all articles included;all articles included;no quote;no quote;7.5606060606060606;10.125;no personalisation;5.0;1.0;4.0;[];0.0;0.2;1.25;0.25;complex;
275;275;275;275;"/ . ~  LMZ Gewinnspiel:
: » Sachsen Million
: J Jetzt teilnehmen und
und die Chante auf 1 Million Euro sichern!
—— ON Ze
— Cr -
al  “ io. ay:
";C:\Users\Lui\lvz.de\2023-11-09_11-49-21_UTC.jpg;"Glücksritter aufgepasst! 🍀✨

Die neue Lotterie „Sachsen Million“ bietet die Chance auf einen Millionengewinn, die noch nie so hoch war: sie liegt bei 1:250.000. ⭐️

Die LVZ verlost 5 „Sachsen Million“-Lose. 
Jetzt teilnehmen unter www.lvz.de/million. 

#lvz #gewinnspiel #leipzig";6;195;False;LVZ;yes;279;False;no personalisation;no emotionalisation;Cooperation/ Ad;regional;no;;;;all verbs included;all verbs included;all articles included;omission of article;no quote;no quote;6.777777777777778;4.107142857142857;no personalisation;4.0;1.0;7.0;['🍀', '✨', '⭐'];1.0;0.25;0.5714285714285714;0.1428571428571428;complex;
